question,answer
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali e dolcificanti artificiali."
"Posso ordinare prodotti per un evento di illusionismo?","Per eventi di illusionismo, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali né emulsionanti naturali."
"Avete prodotti per la colazione con cereali e burro di noci e cioccolato e miele e frutta secca e semi e yogurt e cereali integrali e muesli e frutta fresca e verdura e spezie e erbe aromatiche e superfood?","Non utilizziamo burro di noci. I nostri prodotti sono privi di frutta a guscio."
"Come posso segnalare un problema di violazione della sicurezza informatica?","Scrivi a it-security@moratogroup.com. Investigheremo immediatamente."
"Fate prodotti per la dieta senza glutine e senza oli e senza grassi e senza additivi e senza conservanti e senza coloranti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali?","I prodotti Nutrifree contengono oli e grassi vegetali, ma sono senza additivi, conservanti, coloranti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali e aromi artificiali artificiali. Controlla l'etichetta."
"Posso ottenere un report sulla gestione del rischio informatico?","Il report di sostenibilità include informazioni sulla gestione del rischio informatico. È disponibile sul sito."
"Fate prodotti per la cucina senza additivi e senza emulsionanti e senza coloranti e senza aromi e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali?","Sì, non usiamo additivi, emulsionanti, coloranti, aromi, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali né grassi naturali."
"Avete prodotti per la merenda con canguro?","No, i nostri prodotti non contengono canguro."
"Come posso fare una richiesta di collaborazione per un festival del fumetto?","Per festival del fumetto, scrivi a comunicazione@moratogroup.com."
"Fate prodotti per la dieta senza glutine e senza additivi e senza emulsionanti e senza coloranti e senza conservanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali?","Sì, molti prodotti Nutrifree sono senza glutine, additivi, emulsionanti, coloranti, conservanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali e antiossidanti artificiali."
"Posso ordinare prodotti per un evento di prestidigitazione?","Per eventi di prestidigitazione, contatta l'ufficio eventi all'indirizzo eventi@moratopane.com."
"Fate prodotti per la cucina senza additivi e senza coloranti e senza aromi e senza conservanti e senza emulsionanti e senza dolcificanti e senza antiossidanti e senza grassi idrogenati e senza sciroppo di glucosio e senza olio di palma e senza amido modificato e senza gelatina e senza conservanti naturali e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali e senza olio naturali e senza amido naturali e senza gelatina naturali e senza conservanti artificiali e senza additivi artificiali e senza coloranti artificiali e senza aromi artificiali e senza dolcificanti artificiali e senza antiossidanti artificiali e senza grassi artificiali e senza sciroppo artificiali e senza olio artificiali e senza amido artificiali e senza gelatina artificiali e senza conservanti sintetici e senza additivi sintetici e senza coloranti sintetici e senza aromi sintetici e senza dolcificanti sintetici e senza antiossidanti sintetici e senza grassi sintetici e senza sciroppo sintetici e senza olio sintetici e senza amido sintetici e senza gelatina sintetici e senza additivi naturali e senza coloranti naturali e senza aromi naturali e senza dolcificanti naturali e senza antiossidanti naturali e senza emulsionanti naturali e senza grassi naturali e senza sciroppo naturali?","Sì, non usiamo additivi, coloranti, aromi, conservanti, emulsionanti, dolcificanti, antiossidanti, grassi idrogenati, sciroppo di glucosio, olio di palma, amido modificato, gelatina, conservanti naturali, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali, sciroppo naturali, olio naturali, amido naturali, gelatina naturali, conservanti artificiali, additivi artificiali, coloranti artificiali, aromi artificiali, dolcificanti artificiali, antiossidanti artificiali, grassi artificiali, sciroppo artificiali, olio artificiali, amido artificiali, gelatina artificiali, conservanti sintetici, additivi sintetici, coloranti sintetici, aromi sintetici, dolcificanti sintetici, antiossidanti sintetici, grassi sintetici, sciroppo sintetici, olio sintetici, amido sintetici, gelatina sintetici, additivi naturali, coloranti naturali, aromi naturali, dolcificanti naturali, antiossidanti naturali, emulsionanti naturali, grassi naturali né sciroppo naturali."
